Generic,Real,Float,Double,Complex,ComplexFloat,ComplexDouble,Miscellaneous
hesv,!sysv,!ssysv.f,!dsysv.f,hesv,chesv.f,zhesv.f,
hesvx,,,,hesvx,chesvx.f,zhesvx.f,
heswapr,,,,heswapr,cheswapr.f,zheswapr.f,
hetd2,,,,hetd2,chetd2.f,zhetd2.f,
hetf2,,,,hetf2,chetf2.f,zhetf2.f,
hetrd,,,,hetrd,chetrd.f,zhetrd.f,
hetrf,!sytrf,!ssytrf.f,!dsytrf.f,hetrf,chetrf.f,zhetrf.f,
hetri,!sytri,!ssytri.f,!dsytri.f,hetri,chetri.f,zhetri.f,
hetri2,,,,hetri2,chetri2.f,zhetri2.f,
hetri2x,,,,hetri2x,chetri2x.f,zhetri2x.f,
hetrs,!sytrs,!ssytrs.f,!dsytrs.f,hetrs,chetrs.f,zhetrs.f,
hetrs2,,,,hetrs2,chetrs2.f,zhetrs2.f,
hfrk,sfrk,ssfrk.f,dsfrk.f,hfrk,chfrk.f,zhfrk.f,
hgeqz,hgeqz,shgeqz.f,dhgeqz.f,hgeqz,chgeqz.f,zhgeqz.f,
hpcon,,,,hpcon,chpcon.f,zhpcon.f,
hpev,spev,sspev.f,dspev.f,hpev,chpev.f,zhpev.f,
hpevd,spevd,sspevd.f,dspevd.f,hpevd,chpevd.f,zhpevd.f,
hpevx,spevx,sspevx.f,dspevx.f,hpevx,chpevx.f,zhpevx.f,
hpgst,spgst,sspgst.f,dspgst.f,hpgst,chpgst.f,zhpgst.f,
hpgv,spgv,sspgv.f,dspgv.f,hpgv,chpgv.f,zhpgv.f,
hpgvd,spgvd,sspgvd.f,dspgvd.f,hpgvd,chpgvd.f,zhpgvd.f,
hpgvx,spgvx,sspgvx.f,dspgvx.f,hpgvx,chpgvx.f,zhpgvx.f,
hprfs,!sprfs,!ssprfs.f,!dsprfs.f,hprfs,chprfs.f,zhprfs.f,
hpsv,!spsv,!sspsv.f,!dspsv.f,hpsv,chpsv.f,zhpsv.f,
hpsvx,!spsvx,!sspsvx.f,!dspsvx.f,hpsvx,chpsvx.f,zhpsvx.f,
hptrd,sptrd,ssptrd.f,dsptrd.f,hptrd,chptrd.f,zhptrd.f,
hptrf,!sptrf,!ssptrf.f,!dsptrf.f,hptrf,chptrf.f,zhptrf.f,
hptri,!sptri,!ssptri.f,!dsptri.f,hptri,chptri.f,zhptri.f,
hptrs,!sptrs,!ssptrs.f,!dsptrs.f,hptrs,chptrs.f,zhptrs.f,
hsein,hsein,shsein.f,dhsein.f,hsein,chsein.f,zhsein.f,
hseqr,hseqr,shseqr.f,dhseqr.f,hseqr,chseqr.f,zhseqr.f,
ilalc,ilalc,ilaslc.f,iladlc.f,ilalc,ilaclc.f,ilazlc.f,
ilalr,ilalr,ilaslr.f,iladlr.f,ilalr,ilaclr.f,ilazlr.f,
imax1,,,,imax1,icmax1.f,izmax1.f,
isnan,isnan,sisnan.f,disnan.f,,,,
labad,labad,slabad.f,dlabad.f,,,,
labrd,labrd,slabrd.f,dlabrd.f,labrd,clabrd.f,zlabrd.f,
lacgv,,,,lacgv,clacgv.f,zlacgv.f,
lacn2,lacn2,slacn2.f,dlacn2.f,lacn2,clacn2.f,zlacn2.f,
lacon,lacon,slacon.f,dlacon.f,lacon,clacon.f,zlacon.f,
lacp2,,,,lacp2,clacp2.f,zlacp2.f,
lacpy,lacpy,slacpy.f,dlacpy.f,lacpy,clacpy.f,zlacpy.f,
lacrm,,,,lacrm,clacrm.f,zlacrm.f,
lacrt,,,,lacrt,clacrt.f,zlacrt.f,
ladiv,ladiv,sladiv.f,dladiv.f,ladiv,cladiv.f,zladiv.f,
lae2,lae2,slae2.f,dlae2.f,,,,
laebz,laebz,slaebz.f,dlaebz.f,,,,
laed0,laed0,slaed0.f,dlaed0.f,laed0,claed0.f,zlaed0.f,
laed1,laed1,slaed1.f,dlaed1.f,,,,
laed2,laed2,slaed2.f,dlaed2.f,,,,
laed3,laed3,slaed3.f,dlaed3.f,,,,
laed4,laed4,slaed4.f,dlaed4.f,,,,
laed5,laed5,slaed5.f,dlaed5.f,,,,
laed6,laed6,slaed6.f,dlaed6.f,,,,
laed7,laed7,slaed7.f,dlaed7.f,laed7,claed7.f,zlaed7.f,
laed8,laed8,slaed8.f,dlaed8.f,laed8,claed8.f,zlaed8.f,
laed9,laed9,slaed9.f,dlaed9.f,,,,
laeda,laeda,slaeda.f,dlaeda.f,,,,
laein,laein,slaein.f,dlaein.f,laein,claein.f,zlaein.f,
laesy,,,,laesy,claesy.f,zlaesy.f,
laev2,laev2,slaev2.f,dlaev2.f,laev2,claev2.f,zlaev2.f,
laexc,laexc,slaexc.f,dlaexc.f,,,,
lag2,lag2,slag2.f,dlag2.f,,,,
lag2c,lag2c,,,lag2c,,zlag2c.f,
lag2d,lag2d,slag2d.f,,,,,
lag2s,lag2s,,dlag2s.f,,,,
lag2z,lag2z,,,lag2z,clag2z.f,,
lags2,lags2,slags2.f,dlags2.f,lags2,clags2.f,zlags2.f,
lagtf,lagtf,slagtf.f,dlagtf.f,,,,
lagtm,lagtm,slagtm.f,dlagtm.f,lagtm,clagtm.f,zlagtm.f,
lagts,lagts,slagts.f,dlagts.f,,,,
lagv2,lagv2,slagv2.f,dlagv2.f,,,,
lahef,,,,lahef,clahef.f,zlahef.f,
lahqr,lahqr,slahqr.f,dlahqr.f,lahqr,clahqr.f,zlahqr.f,
lahr2,lahr2,slahr2.f,dlahr2.f,lahr2,clahr2.f,zlahr2.f,
laic1,laic1,slaic1.f,dlaic1.f,laic1,claic1.f,zlaic1.f,
laisnan,laisnan,slaisnan.f,dlaisnan.f,,,,
laln2,laln2,slaln2.f,dlaln2.f,,,,
lals0,lals0,slals0.f,dlals0.f,lals0,clals0.f,zlals0.f,
lalsa,lalsa,slalsa.f,dlalsa.f,lalsa,clalsa.f,zlalsa.f,
lalsd,lalsd,slalsd.f,dlalsd.f,lalsd,clalsd.f,zlalsd.f,
lamrg,lamrg,slamrg.f,dlamrg.f,,,,
laneg,laneg,slaneg.f,dlaneg.f,,,,
langb,langb,slangb.f,dlangb.f,langb,clangb.f,zlangb.f,
lange,lange,slange.f,dlange.f,lange,clange.f,zlange.f,
langt,langt,slangt.f,dlangt.f,langt,clangt.f,zlangt.f,
lanhb,,,,lanhb,clanhb.f,zlanhb.f,
lanhe,,,,lanhe,clanhe.f,zlanhe.f,
lanhf,,,,lanhf,clanhf.f,zlanhf.f,
lanhp,,,,lanhp,clanhp.f,zlanhp.f,
lanhs,lanhs,slanhs.f,dlanhs.f,lanhs,clanhs.f,zlanhs.f,
lanht,,,,lanht,clanht.f,zlanht.f,
lansb,lansb,slansb.f,dlansb.f,lansb,clansb.f,zlansb.f,
lansf,lansf,slansf.f,dlansf.f,,,,
lansp,lansp,slansp.f,dlansp.f,lansp,clansp.f,zlansp.f,
lanst,lanst,slanst.f,dlanst.f,,,,
lansy,lansy,slansy.f,dlansy.f,lansy,clansy.f,zlansy.f,
lantb,lantb,slantb.f,dlantb.f,lantb,clantb.f,zlantb.f,
lantp,lantp,slantp.f,dlantp.f,lantp,clantp.f,zlantp.f,
lantr,lantr,slantr.f,dlantr.f,lantr,clantr.f,zlantr.f,
lanv2,lanv2,slanv2.f,dlanv2.f,,,,
lapll,lapll,slapll.f,dlapll.f,lapll,clapll.f,zlapll.f,
lapmr,lapmr,slapmr.f,dlapmr.f,lapmr,clapmr.f,zlapmr.f,
lapmt,lapmt,slapmt.f,dlapmt.f,lapmt,clapmt.f,zlapmt.f,
lapy2,lapy2,slapy2.f,dlapy2.f,,,,
lapy3,lapy3,slapy3.f,dlapy3.f,,,,
laqgb,laqgb,slaqgb.f,dlaqgb.f,laqgb,claqgb.f,zlaqgb.f,
laqge,laqge,slaqge.f,dlaqge.f,laqge,claqge.f,zlaqge.f,
laqhb,,,,laqhb,claqhb.f,zlaqhb.f,
laqhe,,,,laqhe,claqhe.f,zlaqhe.f,
laqhp,,,,laqhp,claqhp.f,zlaqhp.f,
laqp2,laqp2,slaqp2.f,dlaqp2.f,laqp2,claqp2.f,zlaqp2.f,
laqps,laqps,slaqps.f,dlaqps.f,laqps,claqps.f,zlaqps.f,
laqr0,laqr0,slaqr0.f,dlaqr0.f,laqr0,claqr0.f,zlaqr0.f,
laqr1,laqr1,slaqr1.f,dlaqr1.f,laqr1,claqr1.f,zlaqr1.f,
laqr2,laqr2,slaqr2.f,dlaqr2.f,laqr2,claqr2.f,zlaqr2.f,
laqr3,laqr3,slaqr3.f,dlaqr3.f,laqr3,claqr3.f,zlaqr3.f,
laqr4,laqr4,slaqr4.f,dlaqr4.f,laqr4,claqr4.f,zlaqr4.f,
laqr5,laqr5,slaqr5.f,dlaqr5.f,laqr5,claqr5.f,zlaqr5.f,
laqsb,laqsb,slaqsb.f,dlaqsb.f,laqsb,claqsb.f,zlaqsb.f,
laqsp,laqsp,slaqsp.f,dlaqsp.f,laqsp,claqsp.f,zlaqsp.f,
laqsy,laqsy,slaqsy.f,dlaqsy.f,laqsy,claqsy.f,zlaqsy.f,
laqtr,laqtr,slaqtr.f,dlaqtr.f,,,,
lar1v,lar1v,slar1v.f,dlar1v.f,lar1v,clar1v.f,zlar1v.f,
lar2v,lar2v,slar2v.f,dlar2v.f,lar2v,clar2v.f,zlar2v.f,
larcm,,,,larcm,clarcm.f,zlarcm.f,
larf,larf,slarf.f,dlarf.f,larf,clarf.f,zlarf.f,
larfb,larfb,slarfb.f,dlarfb.f,larfb,clarfb.f,zlarfb.f,
larfg,larfg,slarfg.f,dlarfg.f,larfg,clarfg.f,zlarfg.f,
larfgp,larfgp,slarfgp.f,dlarfgp.f,larfgp,clarfgp.f,zlarfgp.f,
larft,larft,slarft.f,dlarft.f,larft,clarft.f,zlarft.f,
larfx,larfx,slarfx.f,dlarfx.f,larfx,clarfx.f,zlarfx.f,
largv,largv,slargv.f,dlargv.f,largv,clargv.f,zlargv.f,
larnv,larnv,slarnv.f,dlarnv.f,larnv,clarnv.f,zlarnv.f,
larra,larra,slarra.f,dlarra.f,,,,
larrb,larrb,slarrb.f,dlarrb.f,,,,
larrc,larrc,slarrc.f,dlarrc.f,,,,
larrd,larrd,slarrd.f,dlarrd.f,,,,
larre,larre,slarre.f,dlarre.f,,,,
larrf,larrf,slarrf.f,dlarrf.f,,,,
larrj,larrj,slarrj.f,dlarrj.f,,,,
larrk,larrk,slarrk.f,dlarrk.f,,,,
